horario,approved,backend_reversed,denied,echo,failed,processing,refunded,reversed
10 59,404.0,1.0,42.0,,,,1.0,3.0
11 00,367.0,2.0,36.0,,,,1.0,3.0
11 01,373.0,,45.0,,,,3.0,1.0
11 02,416.0,,47.0,,,,1.0,2.0
11 03,374.0,,35.0,,,,1.0,8.0
11 04,409.0,,46.0,,,,,3.0
11 05,400.0,1.0,37.0,,,,,3.0
11 06,385.0,,53.0,,,,,4.0
11 07,360.0,,43.0,3.0,,,,6.0
11 08,348.0,,35.0,,,,3.0,4.0
11 09,360.0,,46.0,,,,,
11 10,385.0,,48.0,,,,1.0,2.0
11 11,410.0,1.0,49.0,,,,1.0,
11 12,392.0,,54.0,,,,,2.0
11 13,416.0,2.0,32.0,,,,1.0,3.0
11 14,379.0,2.0,47.0,,,,1.0,3.0
11 15,357.0,6.0,48.0,,,,,3.0
11 16,408.0,2.0,48.0,,,,1.0,5.0
11 17,380.0,5.0,41.0,,,,1.0,
11 18,369.0,4.0,50.0,,,,2.0,3.0
11 19,377.0,,42.0,,,,,2.0
11 20,392.0,,36.0,,,,2.0,2.0
11 21,346.0,2.0,42.0,,,,1.0,3.0
11 22,367.0,,47.0,3.0,,,2.0,3.0
11 23,344.0,,51.0,,,,1.0,2.0
11 24,386.0,1.0,41.0,,,,,3.0
11 25,388.0,,49.0,,,,2.0,2.0
11 26,360.0,,36.0,,,3.0,1.0,4.0
11 27,429.0,,41.0,,,,,4.0
11 28,360.0,,48.0,,,,,3.0
11 29,354.0,1.0,39.0,,,,1.0,5.0
11 30,375.0,1.0,38.0,,,,1.0,3.0
11 31,384.0,,39.0,,,,1.0,1.0
11 32,358.0,,47.0,,,,2.0,2.0
11 33,369.0,,45.0,,,,,
11 34,390.0,,43.0,,,,3.0,1.0
11 35,372.0,1.0,48.0,,,,1.0,3.0
11 36,414.0,,50.0,,,,,3.0
11 37,407.0,,29.0,3.0,,,,1.0
11 38,392.0,,38.0,,,,,2.0
11 39,379.0,,33.0,,,,2.0,1.0
